Facility Name,CMS Certification Number (CCN),Address,City,State,Zip Code,Network,VAT Catheter Measure Score Applied,National Average VAT Catheter Measure Score,VAT Fistula Achievement Period Numerator,VAT Fistula Achievement Period Denominator,VAT Fistula Measure Score Applied,National Average VAT Fistula Measure Score,National Average Vascular Access Combined Measure Score,Kt/V Comprehensive Achievement Period Numerator,Kt/V Comprehensive Achievement Period Denominator,Kt/V Comprehensive Improvement Period Denominator,Kt/V Comprehensive Measure Score Applied,National Average Kt/V Comprehensive Measure Score,Hypercalcemia Measure Score,Hypercalcemia Reason for No Score (See Footnotes File),Hypercalcemia Achievement Measure Rate,Hypercalcemia Achievement Period Numerator,Hypercalcemia Achievement Period Denominator,Hypercalcemia Measure Score Applied,National Average NHSN Influenza Measure Score,NHSN BSI Measure Score Applied,National Average NHSN BSI Measure Score,NHSN Dialysis Event Reporting Number of Months Reported,NHSN Combined Measure Score,National Average NHSN Combined Measure Score,ICH CAHPS Measure Score,ICH CAHPS Reason for No Score (See Footnotes File),ICH CAHPS Achievement Period Count of Completed Surveys,ICH CAHPS Improvement Period Count of Completed Surveys,ICH CAHPS Measure Score Applied,National Average ICH CAHPS Measure Score,ICH CAHPS Neph Comm and Caring Measure Score Applied,Serum Phosphorus Measure Score,National Average Serum Phosphorus Measure Score,National Average Anemia Management Measure Score,SRR Reason for No Score (See Footnotes File),SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Period Numerator,SRR Measure Score Applied,National Average SRR Measure Score,Standardized Transfusion Ratio (STrR) Measure Score,STrR Achievement Measure Ratio,Number of Patient-Years at Risk in STrR Achievement Period,STrR Achievement Period Numerator,STrR Achievement Period Denominator,STrR Improvement Measure Ratio,STrR Measure Score Applied,National Average STrR Measure Score,SHR Achievement Period Numerator,SHR Achievement Period Denominator,SHR Measure Score Applied,National Average SHR Measure Score,Pain Assessment and Follow-up Measure Score,Ultrafiltration Measure Score,Ultrafiltration Reason for No Score (See Footnotes File),National Average Ultrafiltration Measure Score,Total-Performance-Score,PY2020 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2018",Date of Ownership Record Update
"NNA OF ALABAMA, INC",12556,7067 VETERANS PKWY SUITE 120 ,PELL CITY,AL,35125,8,Achievement,5,145,274,Achievement,5,5,423,428,345,Achievement,7,9,-,0.23%,1,431,Achievement,10,Achievement,6,12,8,7,No Score,5,12,<11,N/A,5,N/A,9,9,10,-,6,10.759,8,Achievement,5,8,0.599,15.40314853,4,5.887,0.705,Achievement,5,37,43.777,Achievement,5,10,5,-,4,78,No Reduction,6/1/1995,FRESENIUS MEDICAL CARE,5/20/2010
DCI DECATUR,12558,1601 6TH AVENUE SOUTH EAST ,DECATUR,AL,35601,8,Achievement,5,503,687,Achievement,5,5,882,903,1263,Achievement,7,8,-,0.32%,3,938,Achievement,10,Achievement,6,12,9,7,7,-,66,55,Achievement,5,Achievement,10,9,10,-,23,28.965,51,Achievement,5,4,1.001,46.83915127,19,18.974,1.014,Achievement,5,109,124.492,Achievement,5,10,5,-,4,72,No Reduction,5/24/1995,"DIALYSIS CLINIC, INC.",1/12/2000
FMC UNIVERSITY SOUTH ALABAMA,12559,700 CLINIC DRIVE ,MOBILE,AL,36688,8,Achievement,5,294,516,Achievement,5,5,874,942,870,Achievement,7,5,-,1.11%,11,989,Achievement,10,Achievement,6,12,5,7,No Score,5,25,32,N/A,5,N/A,8,9,10,-,22,24.108,31,Achievement,5,4,1.062,47.45242984,17,16.004,1.42,Achievement,5,104,101.25,Achievement,5,10,0,-,4,51,0.50%,1/14/1995,FRESENIUS MEDICAL CARE,1/4/2011
FMC LAKEVIEW,12561,"45 MEDICAL PARK DR., STE A ",GUNTERSVILLE,AL,35976,8,Achievement,5,217,367,Achievement,5,5,533,536,569,Achievement,7,10,-,0.00%,0,558,Achievement,10,Achievement,6,12,9,7,4,-,33,41,Achievement,5,Achievement,10,9,10,-,14,12.809,18,Achievement,5,1,1.799,27.1430527,18,10.007,1.98,Improvement,5,57,74.499,Achievement,5,10,8,-,4,61,No Reduction,12/7/1995,FRESENIUS MEDICAL CARE,7/11/2000
DCI PELL CITY,12562,62 COGSWELL DRIVE ,PELL CITY,AL,35125,8,Achievement,5,143,206,Achievement,5,5,296,305,319,Achievement,7,0,-,3.61%,11,305,Achievement,10,Achievement,6,12,10,7,No Score,5,19,19,N/A,5,N/A,10,9,10,-,2,4.668,3,Achievement,5,10,0.383,16.06297057,2,5.222,0.349,Achievement,5,20,29.459,Achievement,5,10,10,-,4,89,No Reduction,12/13/1995,"DIALYSIS CLINIC, INC.",1/11/2012
DCI CULLMAN,12563,1734 EVA ROAD NE ,CULLMAN,AL,35055,8,Achievement,5,424,583,Achievement,5,5,761,768,802,Achievement,7,4,-,1.38%,11,797,Achievement,10,Achievement,6,12,8,7,9,-,67,55,Achievement,5,Achievement,10,9,10,-,19,24.6,27,Achievement,5,7,0.661,43.2991102,12,18.165,0.632,Achievement,5,96,107.509,Achievement,5,10,7,-,4,82,No Reduction,1/4/1996,"DIALYSIS CLINIC, INC.",10/24/2009
SOUTH BALDWIN DIALYSIS CENTER,12565,150 W PEACHTREE AVE ,FOLEY,AL,36535,8,Achievement,5,50,104,Improvement,5,5,185,194,235,Achievement,7,8,-,0.53%,1,190,Achievement,10,Achievement,6,12,8,7,No Score,5,<11,<11,N/A,5,N/A,8,9,10,-,5,6.696,3,Achievement,5,No Score,No Ratio,<10,,,No Ratio,N/A,5,24,16.616,Improvement,5,10,4,-,4,72,No Reduction,4/2/1996,DAVITA,7/11/2000
FMC SYLACAUGA,12566,314 WEST SPRING STREET ,SYLACAUGA,AL,35150,8,Achievement,5,179,358,Achievement,5,5,439,445,469,Achievement,7,10,-,0.00%,0,457,Achievement,10,Achievement,6,12,8,7,No Score,5,21,25,N/A,5,N/A,8,9,10,-,14,15.096,15,Achievement,5,10,0.263,21.59069131,2,7.595,1.233,Achievement,5,57,47.282,Achievement,5,10,6,-,4,67,No Reduction,7/16/1996,FRESENIUS MEDICAL CARE,10/24/2009
FMC PARKWAY,12568,1311 N MEMORIAL PKWY STE 100 ,HUNTSVILLE,AL,35801,8,Achievement,5,300,431,Achievement,5,5,537,547,582,Achievement,7,9,-,0.18%,1,563,Achievement,10,Achievement,6,12,9,7,No Score,5,26,35,N/A,5,N/A,10,9,10,-,11,12.061,33,Improvement,5,4,1.088,30.64202601,12,11.029,1.433,Achievement,5,58,66.948,Improvement,5,10,1,-,4,72,No Reduction,9/3/1996,FRESENIUS MEDICAL CARE,1/2/1980
NORTHPORT DIALYSIS,12570,2401 HOSPITAL DRIVE ,NORTHPORT,AL,35476,8,Achievement,5,274,561,Achievement,5,5,760,799,741,Achievement,7,9,-,0.25%,2,801,Achievement,10,Achievement,6,12,6,7,8,-,39,35,Achievement,5,Achievement,10,9,10,-,47,38.341,49,Achievement,5,4,1.019,42.6146475,15,14.721,1.224,Achievement,5,130,101.941,Achievement,5,10,6,-,4,50,0.50%,12/3/1996,DAVITA,4/19/2011
DCI GEORGIANA,12571,715 MEETING ST ,GEORGIANA,AL,36033,8,Achievement,5,112,291,Achievement,5,5,336,348,360,Achievement,7,6,-,0.86%,3,347,Achievement,10,Achievement,6,12,8,7,No Score,5,<11,<11,N/A,5,N/A,9,9,10,-,2,8.125,1,Achievement,5,10,0.109,20.75290897,1,9.142,0.201,Achievement,5,35,43.045,Achievement,5,10,9,-,4,78,No Reduction,12/31/1996,"DIALYSIS CLINIC, INC.",10/24/2009
FMC CAMELLIA,12572,350 PAUL STABLER DRIVE ,GREENVILLE,AL,36037,8,Achievement,5,307,590,Achievement,5,5,721,744,768,Achievement,7,6,-,0.92%,7,760,Achievement,10,Achievement,6,12,8,7,No Score,5,22,29,N/A,5,N/A,9,9,10,-,26,19.53,5,Achievement,5,2,1.243,40.44900753,19,15.292,0.581,Achievement,5,86,91.347,Achievement,5,10,0,-,4,44,1.00%,2/12/1997,FRESENIUS MEDICAL CARE,8/19/2016
DCI BIRMINGHAM,12573,8713 PARKWAY EAST ,BIRMINGHAM,AL,35206,8,Achievement,5,151,224,Achievement,5,5,395,399,472,Achievement,7,10,-,0.00%,0,403,Achievement,10,Achievement,6,12,5,7,9,-,30,34,Achievement,5,Achievement,10,9,10,-,8,7.067,3,Achievement,5,3,1.17,18.46132786,9,6.839,0.885,Achievement,5,29,35.326,Achievement,5,10,7,-,4,72,No Reduction,12/18/1997,"DIALYSIS CLINIC, INC.",10/24/2009
FMC CHAMBERS,12574,802 HOSPITAL STREET ,LAFAYETTE,AL,36862,8,Achievement,5,242,274,Achievement,5,5,336,337,176,Achievement,7,3,-,1.79%,6,336,Achievement,10,Achievement,6,12,8,7,No Score,5,<11,11,N/A,5,N/A,10,9,10,-,8,9.863,,Achievement,5,9,0.518,17.01848049,4,7.271,0.169,Achievement,5,29,35.667,Achievement,5,10,10,-,4,83,No Reduction,6/10/1997,FRESENIUS MEDICAL CARE,6/10/1997
RCG WALKER,12575,3510 3RD STREET NE ,JASPER,AL,35504,8,Achievement,5,224,358,Improvement,5,5,521,533,542,Achievement,7,6,-,0.92%,5,544,Achievement,10,Achievement,6,12,4,7,No Score,5,23,26,N/A,5,N/A,9,9,10,-,37,24.315,11,Achievement,5,0,3.012,24.7008898,30,9.962,0.277,Achievement,5,91,62.379,Achievement,5,10,2,-,4,44,1.00%,1/8/1998,FRESENIUS MEDICAL CARE,3/18/2011
DCI MONTGOMERY,12576,544 SOUTH MCDONOUGH STREET ,MONTGOMERY,AL,36104,8,Achievement,5,205,442,Improvement,5,5,779,858,1016,Improvement,7,6,-,0.92%,8,873,Achievement,10,Achievement,6,12,10,7,1,-,31,29,Achievement,5,Achievement,10,9,10,-,18,22.265,16,Achievement,5,2,1.248,41.07323751,22,17.623,0.583,Achievement,5,83,93.012,Achievement,5,10,6,-,4,48,1.00%,6/5/1998,"DIALYSIS CLINIC, INC.",1/2/1980
RCG SOUTHSIDE,12578,2131 MAGNOLIA AVE SOUTH #100 ,BIRMINGHAM,AL,35205,8,Achievement,5,173,337,Achievement,5,5,481,520,533,Achievement,7,4,-,1.35%,7,519,Achievement,10,Achievement,6,12,10,7,No Score,5,<11,14,N/A,5,N/A,7,9,10,-,21,15.64,13,Achievement,5,1,1.351,24.82135524,12,8.879,1.399,Achievement,5,69,61.229,Achievement,5,10,0,-,4,36,1.50%,6/18/1998,FRESENIUS MEDICAL CARE,9/27/2012
FMC DAUPHIN ISLAND PKWY,12579,2381 DAUPHIN ISLAND PARKWAY ,MOBILE,AL,36605,8,Achievement,5,351,510,Achievement,5,5,849,871,853,Achievement,7,8,-,0.35%,3,866,Achievement,10,Achievement,6,12,8,7,3,-,41,36,Achievement,5,Achievement,10,9,10,-,32,25.531,16,Achievement,5,1,1.426,41.15811088,21,14.723,1.136,Achievement,5,110,90.708,Achievement,5,10,0,-,4,52,0.50%,7/8/1998,FRESENIUS MEDICAL CARE,1/2/1980
FMC THOMASVILLE,12580,30230 HWY 43 ,THOMASVILLE,AL,36784,8,Achievement,5,253,429,Achievement,5,5,507,564,500,Achievement,7,7,-,0.70%,4,574,Achievement,10,Achievement,6,12,9,7,No Score,5,<11,16,N/A,5,N/A,6,9,10,-,21,19.879,17,Achievement,5,4,1.096,29.44832307,12,10.951,1.089,Achievement,5,70,63.643,Achievement,5,10,0,-,4,46,1.00%,9/15/1998,FRESENIUS MEDICAL CARE,5/20/2011
FMC WILCOX,12582,229 CAMDEN BYPASS ,CAMDEN,AL,36726,8,Achievement,5,248,445,Achievement,5,5,479,482,398,Achievement,7,10,-,0.00%,0,492,Achievement,10,Achievement,6,12,10,7,No Score,5,11,22,N/A,5,N/A,7,9,10,-,3,7.983,2,Achievement,5,10,0.262,31.58110883,3,11.435,0.42,Achievement,5,38,56.296,Achievement,5,10,8,-,4,88,No Reduction,11/4/1998,FRESENIUS MEDICAL CARE,7/11/2000
BESSEMER DIALYSIS,12583,901 WESTLAKE MALL STE 101,BESSEMER,AL,35020,8,Achievement,5,106,268,Improvement,5,5,402,430,562,Achievement,7,1,-,2.17%,9,414,Achievement,10,Improvement,6,12,8,7,No Score,5,16,19,N/A,5,N/A,7,9,10,-,5,7.929,19,Achievement,5,4,1.023,16.76112252,7,5.761,1.279,Achievement,5,35,41.799,Achievement,5,10,0,-,4,54,0.50%,8/1/1998,DAVITA,1/11/2017
ENSLEY DIALYSIS,12585,2630 AVENUE E ,BIRMINGHAM,AL,35218,8,Achievement,5,303,626,Achievement,5,5,977,1009,960,Achievement,7,3,-,1.63%,16,979,Achievement,10,Improvement,6,12,5,7,1,-,47,47,Achievement,5,Achievement,10,9,10,-,16,20.557,25,Achievement,5,8,0.565,45.93292266,9,15.92,0.597,Achievement,5,79,98.878,Achievement,5,10,0,-,4,52,0.50%,8/1/1998,DAVITA,1/2/1980
SYLACAUGA DIALYSIS,12588,331 JAMES PAYTON BLVD ,SYLACAUGA,AL,35150,8,Achievement,5,216,409,Achievement,5,5,552,580,610,Achievement,7,7,-,0.67%,4,595,Achievement,10,Achievement,6,12,4,7,No Score,5,21,23,N/A,5,N/A,10,9,10,-,13,17.473,6,Achievement,5,0,1.495,33.60711841,19,12.71,0.352,Achievement,5,82,69.131,Achievement,5,10,2,-,4,42,1.00%,8/1/1998,DAVITA,3/17/2017
BIRMINGHAM NORTH DIALYSIS,12589,1917 32ND AVENUE NORTH ,BIRMINGHAM,AL,35207,8,Achievement,5,176,441,Achievement,5,5,849,867,957,Achievement,7,9,-,0.23%,2,879,Achievement,10,Achievement,6,12,5,7,8,-,42,62,Achievement,5,Achievement,10,9,10,-,29,21.37,20,Achievement,5,1,1.407,31.37577002,15,10.665,1.424,Achievement,5,75,66.129,Achievement,5,10,7,-,4,52,0.50%,8/1/1998,DAVITA,10/19/2002
DCI MOULTON,12590,1962 MAIN STREET ,MOULTON,AL,35650,8,Achievement,5,177,234,Achievement,5,5,301,330,352,Improvement,7,6,-,0.90%,3,333,Achievement,10,Achievement,6,12,4,7,No Score,5,15,18,N/A,5,N/A,10,9,10,-,11,12.491,15,Achievement,5,1,1.418,16.56673511,12,6.863,1.432,Achievement,5,41,49.75,Achievement,5,10,7,-,4,56,0.50%,3/16/1999,"DIALYSIS CLINIC, INC.",3/16/1999
FMC SHELBY,12591,1022 FIRST STREET NORTH SUITE 101,ALABASTER,AL,35007,8,Achievement,5,228,360,Achievement,5,5,549,558,606,Achievement,7,9,-,0.18%,1,564,Achievement,10,Achievement,6,12,8,7,No Score,5,15,24,N/A,5,N/A,9,9,10,-,24,19.521,17,Achievement,5,8,0.619,24.05201916,5,8.071,0.74,Achievement,5,67,58.361,Achievement,5,10,1,-,4,61,No Reduction,4/8/1999,FRESENIUS MEDICAL CARE,7/14/2015
BIRMINGHAM CENTRAL DIALYSIS,12592,728 RICHARD ARRINGTON BLVD S ,BIRMINGHAM,AL,35233,8,Improvement,5,203,511,Achievement,5,5,813,834,802,Achievement,7,7,-,0.95%,8,840,Improvement,10,Achievement,6,12,9,7,1,-,41,32,Achievement,5,Achievement,10,9,10,-,16,14.077,8,Achievement,5,0,1.578,37.04312115,19,12.041,0.529,Achievement,5,60,66.484,Achievement,5,10,6,-,4,45,1.00%,8/1/1998,DAVITA,8/28/2016
FMC ODYSSEY DIALYSIS,12593,40 HUGHES ROAD ,MADISON,AL,35758,8,Achievement,5,267,437,Achievement,5,5,517,550,516,Achievement,7,10,-,0.00%,0,562,Achievement,10,Achievement,6,12,8,7,No Score,5,21,27,N/A,5,N/A,9,9,10,-,13,12.449,12,Achievement,5,5,0.901,32.39972621,11,12.208,1.041,Achievement,5,49,65.84,Achievement,5,10,0,-,4,60,No Reduction,5/5/1999,FRESENIUS MEDICAL CARE,1/2/1980
BOAZ DIALYSIS,12594,16 CENTRAL HENDERSON ROAD ,BOAZ,AL,35957,8,Achievement,5,340,431,Achievement,5,5,541,548,522,Achievement,7,8,-,0.36%,2,550,Achievement,10,Achievement,6,12,4,7,8,-,34,37,Achievement,5,Achievement,10,9,10,-,20,22.716,14,Achievement,5,6,0.803,30.18754278,9,11.206,0.974,Achievement,5,72,71.742,Achievement,5,10,8,-,4,73,No Reduction,6/30/1999,DAVITA,2/26/2016
RCG FORT PAYNE,12595,2202 JORDAN ROAD SW SUITE 100,FORT PAYNE,AL,35968,8,Achievement,5,286,410,Achievement,5,5,550,558,569,Achievement,7,10,-,0.00%,0,584,Achievement,10,Achievement,6,12,10,7,No Score,5,27,31,N/A,5,N/A,10,9,10,-,8,10.452,13,Achievement,5,8,0.618,32.61327858,8,12.95,1.393,Achievement,5,49,72.502,Achievement,5,10,6,-,4,90,No Reduction,5/1/1999,FRESENIUS MEDICAL CARE,8/30/2016
FKC MONTGOMERY,12596,3625 MCGEHEE PLACE DRIVE NORTH ,MONTGOMERY,AL,36111,8,Achievement,5,365,847,Achievement,5,5,1245,1355,1301,Achievement,7,9,-,0.15%,2,1353,Achievement,10,Achievement,6,12,9,7,3,-,69,52,Achievement,5,Achievement,8,9,10,-,42,37.451,39,Achievement,5,3,1.208,65.61806982,28,23.173,0.93,Achievement,5,154,130.387,Achievement,5,10,0,-,4,39,1.00%,8/11/1999,FRESENIUS MEDICAL CARE,7/26/2017
FMC BAY MINETTE,12597,2505 HAND AVENUE ,BAY MINETTE,AL,36507,8,Achievement,5,128,235,Achievement,5,5,546,562,546,Achievement,7,6,-,1.05%,6,573,Achievement,10,Achievement,6,12,8,7,4,-,34,27,Achievement,5,Achievement,7,9,10,-,17,16.074,8,Achievement,5,6,0.859,20.73648186,7,7.894,1.208,Achievement,5,76,51.553,Achievement,5,10,3,-,4,57,0.50%,10/27/1999,FRESENIUS MEDICAL CARE,11/2/2015
DCI PHENIX CITY,12598,1611 21ST COURT ,PHENIX CITY,AL,36867,8,Achievement,5,334,439,Achievement,5,5,480,495,496,Achievement,7,9,-,0.20%,1,506,Achievement,10,Achievement,6,12,8,7,10,-,32,30,Achievement,5,Achievement,10,9,10,-,6,7.988,14,Achievement,5,3,1.196,30.62833676,13,10.866,0.681,Achievement,5,38,49.195,Achievement,5,10,7,-,4,83,No Reduction,2/9/2000,"DIALYSIS CLINIC, INC.",10/24/2009
FMC PORT CITY,12599,"201 ST. JOSEPH STREET, SUITE B ",MOBILE,AL,36602,8,Achievement,5,193,412,Achievement,5,5,704,756,804,Achievement,7,7,-,0.67%,5,750,Achievement,10,Achievement,6,12,7,7,No Score,5,28,30,N/A,5,N/A,10,9,10,-,20,23.523,18,Achievement,5,4,1.112,39.38124572,13,11.695,1.584,Improvement,5,90,76.068,Achievement,5,10,0,-,4,48,1.00%,2/7/2001,FRESENIUS MEDICAL CARE,9/2/2005
ATMORE DIALYSIS CENTER,12600,807 EAST CRAIG STREET ,ATMORE,AL,36502,8,Achievement,5,206,358,Achievement,5,5,457,473,492,Achievement,7,9,-,0.21%,1,475,Achievement,10,Achievement,6,12,9,7,No Score,5,16,25,N/A,5,N/A,9,9,10,-,21,17.925,14,Achievement,5,0,1.657,26.96235455,16,9.657,1.548,Achievement,5,68,62.822,Achievement,5,10,5,-,4,48,1.00%,3/14/2001,DAVITA,3/15/2001
FMC WEST,12601,633 LOMB AVENUE ,BIRMINGHAM,AL,35211,8,Achievement,5,165,421,Achievement,5,5,896,930,928,Achievement,7,8,-,0.43%,4,937,Achievement,10,Achievement,6,12,7,7,No Score,5,29,35,N/A,5,N/A,10,9,10,-,28,23.554,28,Achievement,5,5,0.9,32.13415469,11,12.22,1.134,Achievement,5,91,81.763,Achievement,5,10,1,-,4,53,0.50%,3/27/2001,FRESENIUS MEDICAL CARE,9/17/2004
RUSSELLVILLE DIALYSIS,12602,14897 HWY 43 ,RUSSELLVILLE,AL,35653,8,Achievement,5,288,355,Achievement,5,5,456,478,356,Achievement,7,5,-,1.25%,6,480,Achievement,10,Achievement,6,12,4,7,No Score,5,21,19,N/A,5,N/A,10,9,10,-,9,8.876,7,Achievement,5,4,1.007,25.66735113,11,10.92,0.33,Achievement,5,42,51.868,Achievement,5,10,8,-,4,64,No Reduction,6/20/2001,GAMBRO HEALTHCARE,6/21/2001
FMC FAIRFIELD (STEEL CITY),12603,6508 E. J. OLIVER BLVD ,FAIRFIELD,AL,35064,8,Achievement,5,84,235,Improvement,5,5,494,509,533,Achievement,7,9,-,0.20%,1,509,Achievement,10,Achievement,6,12,5,7,No Score,5,11,19,N/A,5,N/A,8,9,10,-,8,9.283,8,Achievement,5,9,0.443,19.67693361,3,6.714,0.49,Achievement,5,47,43.766,Achievement,5,10,1,-,4,65,No Reduction,10/16/2001,RENAL CARE GROUP INC.,8/16/2008
RCG CLANTON,12604,275 HEALTH CENTER DRIVE ,CLANTON,AL,35045,8,Achievement,5,220,343,Achievement,5,5,515,523,551,Achievement,7,10,-,0.00%,0,523,Achievement,10,Achievement,6,12,9,7,No Score,5,27,29,N/A,5,N/A,8,9,10,-,9,9.79,15,Achievement,5,7,0.709,23.52361396,6,8.459,0.392,Achievement,5,47,48.101,Achievement,5,10,5,-,4,76,No Reduction,3/27/2002,FRESENIUS MEDICAL CARE,2/3/2010
FMC CHASE,12606,1849 KEATS DRIVE NORTHWEST ,HUNTSVILLE,AL,35810,8,Achievement,5,451,871,Achievement,5,5,1053,1100,1112,Achievement,7,7,-,0.63%,7,1118,Achievement,10,Achievement,6,12,9,7,2,-,48,54,Achievement,5,Achievement,9,9,10,-,36,31.455,26,Achievement,5,3,1.133,62.86379192,25,22.074,1.322,Achievement,5,128,134.687,Achievement,5,10,0,-,4,46,1.00%,9/19/2002,FRESENIUS MEDICAL CARE,9/16/2002
ROANOKE DIALYSIS CLINIC,12607,4459 US HIGHWAY 431 ,ROANOKE,AL,36274,8,Achievement,5,310,354,Achievement,5,5,478,481,468,Achievement,7,4,-,1.46%,7,481,Achievement,10,Achievement,6,12,10,7,No Score,5,27,27,N/A,5,N/A,8,9,10,-,5,8.338,10,Achievement,5,8,0.612,26.91854894,6,9.81,0.853,Achievement,5,42,56.973,Achievement,5,10,6,-,4,92,No Reduction,1/29/2003,FRESENIUS MEDICAL CARE,11/1/2015
RCG ONEONTA,12608,"150 GILBREATH DRIVE, SUITE 1 ",ONEONTA,AL,35121,8,Achievement,5,199,241,Achievement,5,5,399,404,374,Achievement,7,7,-,0.73%,3,411,Achievement,10,Achievement,6,12,8,7,No Score,5,21,20,N/A,5,N/A,9,9,10,-,5,5.244,3,Achievement,5,10,0.422,17.14442163,3,7.053,0.595,Achievement,5,26,39.266,Achievement,5,10,7,-,4,89,No Reduction,3/26/2003,FRESENIUS MEDICAL CARE,5/13/2011
EUFAULA DIALYSIS,12609,220 SOUTH ORANGE AVE ,EUFAULA,AL,36027,8,Achievement,5,188,270,Achievement,5,5,387,393,550,Achievement,7,9,-,0.26%,1,392,Achievement,10,Achievement,6,12,10,7,No Score,5,29,29,N/A,5,N/A,10,9,10,-,6,6.186,7,Achievement,5,7,0.668,19.36755647,5,7.116,1.488,Achievement,5,26,42.805,Achievement,5,10,8,-,4,87,No Reduction,4/9/2003,DAVITA,6/11/2011
FMC MAGNOLIA,12610,7940 MOFFETT ROAD ,SEMMES,AL,36575,8,Achievement,5,243,492,Achievement,5,5,747,772,826,Achievement,7,8,-,0.51%,4,784,Achievement,10,Achievement,6,12,8,7,5,-,36,44,Achievement,5,Achievement,10,9,10,-,18,21.708,15,Achievement,5,0,1.626,37.3908282,21,12.918,1.066,Achievement,5,92,77.978,Achievement,5,10,3,-,4,57,0.50%,5/14/2003,FRESENIUS MEDICAL CARE,5/2/2003
FMC DALLAS COUNTY,12611,200 SOUTH PARK PL ,SELMA,AL,36701,8,Achievement,5,399,637,Achievement,5,5,754,772,702,Achievement,7,8,-,0.37%,3,803,Achievement,10,Achievement,6,12,10,7,5,-,34,33,Achievement,5,Improvement,9,9,10,-,11,16.041,13,Achievement,5,7,0.665,44.30116359,11,16.531,0.587,Achievement,5,75,78.503,Achievement,5,10,4,-,4,73,No Reduction,12/19/2003,FRESENIUS MEDICAL CARE,10/24/2009
FMC GARDENDALE,12612,592 FIELDSTOWN ROAD SUITE 102,GARDENDALE,AL,35071,8,Achievement,5,211,357,Achievement,5,5,631,657,668,Achievement,7,8,-,0.44%,3,679,Achievement,10,Achievement,6,12,8,7,No Score,5,27,37,N/A,5,N/A,9,9,10,-,11,13.168,23,Achievement,5,6,0.771,29.20465435,8,10.381,1.48,Achievement,5,64,65.735,Achievement,5,10,0,-,4,63,No Reduction,12/17/2003,FRESENIUS MEDICAL CARE,3/23/2011
FMC DISCOVERY,12613,"1131 EAGLETREE LN, STE100 ",HUNTSVILLE,AL,35801,8,Achievement,5,290,488,Achievement,5,5,563,581,602,Achievement,7,5,-,1.17%,7,598,Achievement,10,Achievement,6,12,10,7,No Score,5,25,34,N/A,5,N/A,10,9,10,-,10,12.276,14,Achievement,5,5,0.915,34.57357974,12,13.118,1.491,Achievement,5,53,67.351,Achievement,5,10,2,-,4,72,No Reduction,3/17/2004,FRESENIUS MEDICAL CARE,9/15/2015
FMC VALLEY CREEK,12614,201 LINCOLN LANE ,SELMA,AL,36701,8,Achievement,5,294,601,Achievement,5,5,809,839,772,Achievement,7,6,-,0.94%,8,854,Achievement,10,Achievement,6,12,8,7,No Score,5,25,37,N/A,5,N/A,8,9,10,-,19,20.471,20,Achievement,5,1,1.344,43.72895277,20,14.877,0.848,Achievement,5,78,85.656,Achievement,5,10,0,-,4,55,0.50%,4/7/2004,FRESENIUS MEDICAL CARE,5/24/2017
FMC AUBURN,12615,211 E UNIVERSITY DR ,AUBURN,AL,36832,8,Achievement,5,493,554,Achievement,5,5,819,860,407,Achievement,7,7,-,0.57%,5,881,Achievement,10,Achievement,6,12,10,7,4,-,55,49,Achievement,5,Achievement,9,9,10,-,7,14.086,7,Achievement,5,0,1.836,34.19301848,23,12.529,1.29,Achievement,5,47,75.164,Achievement,5,10,1,-,4,70,No Reduction,6/23/2004,FRESENIUS MEDICAL CARE,5/11/2004
LANDMARK DIALYSIS,12616,717 STONE AVE ,TALLADEGA,AL,35160,8,Achievement,5,124,351,Achievement,5,5,556,560,626,Achievement,7,6,-,1.06%,6,565,Achievement,10,Achievement,6,12,9,7,No Score,5,20,36,N/A,5,N/A,10,9,10,-,23,19.084,13,Achievement,5,0,1.78,25.67556468,17,9.552,0.815,Achievement,5,69,68.924,Achievement,5,10,1,-,4,51,0.50%,6/9/2004,FRESENIUS MEDICAL CARE,11/16/2011
FMC ALEXANDER CITY,12617,3368 HWY 280 BYPASS SUITE G-1,ALEXANDER CITY,AL,35010,8,Achievement,5,557,721,Achievement,5,5,893,903,767,Achievement,7,4,-,1.42%,13,914,Achievement,10,Achievement,6,12,10,7,No Score,5,27,23,N/A,5,N/A,8,9,10,-,12,18.47,12,Achievement,5,5,0.882,56.0164271,19,21.55,0.702,Achievement,5,80,109.373,Achievement,5,10,0,-,4,84,No Reduction,11/10/2004,FRESENIUS MEDICAL CARE,5/24/2017
RRC NORTHRIDGE,12618,4400 WATERMELON ROAD SUITE A,NORTHPORT,AL,35473,8,Achievement,5,198,516,Achievement,5,5,1016,1090,1004,Achievement,7,8,-,0.45%,5,1100,Achievement,10,Achievement,6,12,9,7,1,-,33,38,Achievement,5,Achievement,2,9,10,-,54,36.911,34,Achievement,5,3,1.263,61.94934976,26,20.586,1.748,Improvement,5,159,120.105,Achievement,5,10,2,-,4,33,1.50%,10/25/2006,NOT A CHAIN,10/18/2017
